log_date,symbol,taken,off_system,entry_date,entry_time,entry_price,status,exit_date,exit_time,exit_price,qty,trade_type,exit_reason,hold_duration,realized_pnl_pct,realized_pnl_abs,note,wl_symbol,wl_date,wl_prob_bigmove,wl_rank,wl_close,wl_atr_pct,wl_range_pct,wl_bb_bw_20,wl_dvol_z20,wl_dollar_vol,wl_dist_sma200,wl_nifty_ret_5d,wl_nifty_dist_sma50,wl_vol_skip
2026-06-19,EBGNG,True,False,2026-06-22,09:23,529.0,exited,2026-06-23,9:25,531.0,250.0,MTF,discretionary,1d,0.378,500.0,Did not enter at open,EBGNG,2026-06-19,0.627,1,501.95,5.096758,6.385098,0.213681,2.437007,858112100.0,0.416601,1.651787,0.007042,0
2026-06-19,TIMEX,True,False,2026-06-22,10:30,501.1,exited,2026-06-22,15:20,499.0,900.0,Intraday(MIS),time/horizon,290min,-0.419,-1890.0,"Auto square off, entered this trade because had money lying open, 1st trade was a profit.",TIMEX,2026-06-19,0.537,5,518.7,4.732062,8.849046,0.348769,0.317073,683871740.0,0.31255,1.651787,0.007042,0
2026-06-19,DECNGOLD,True,False,2026-06-22,09:23,221.77,exited,2026-06-22,10:00,233.77,2000.0,Intraday(MIS),discretionary,37min,5.411,24000.0,"Did not enter at day open immediately, this was the 1st trade of the day. Opening spike was 2.5%.",DECNGOLD,2026-06-19,0.537,6,214.72,6.202308,4.657228,0.473823,-0.124458,596080100.0,0.459392,1.651787,0.007042,1
2026-06-22,AVANTIFEED,True,False,2026-06-23,09:15,963.46,exited,2026-06-23,15:20,964.87,500.0,Intraday(MIS),time/horizon,365min,0.146,705.0,"Top prob pick, entered at market open, -1% drawdown in next 10 minutes, sold 50% at loss, later the stock rose and reached at +6% high, closed the day at 3% gain.",AVANTIFEED,2026-06-22,0.6124,1,955.0,5.617489,3.979058,0.440501,-0.051365,745918000.0,-0.03053,0.97657,0.010059,1
2026-06-22,NEPHROPLUS,True,False,2026-06-23,09:17,717.25,holding,,,,242.0,MTF,,,,,Probably entered because this was reflected earlier day as well in the watchlist and did not open very high compared to last day.,NEPHROPLUS,2026-06-22,0.5437,15,723.65,4.749887,4.608582,0.303876,0.143827,175614660.0,0.291098,0.97657,0.010059,0
2026-06-22,AEROENTER,True,False,2026-06-23,09:33,149.02,exited,2026-06-23,15:20,141.32,1508.0,Intraday(MIS),time/horizon,347min,-5.167,-11611.6,Entered because 1st trade did not go well initially so sold that 50% and entered here.,AEROENTER,2026-06-22,0.5437,16,145.49,5.189792,6.460925,0.514634,2.342082,1121766800.0,0.682206,0.97657,0.010059,0
2026-06-23,DECNGOLD,True,False,2026-06-24,09:16,221.23,holding,,,,1300.0,MTF,,,,,"entered using intraday at market open, stock went down rapidly, loss beyond digestion, had to square off the other trade which was in profit (AMAGI) which I took so that I can convert this position to MTF.",DECNGOLD,2026-06-23,0.6398,1,217.6,6.555076,9.237132,0.512654,0.271145,937314600.0,0.446065,-0.808282,-0.002199,1
2026-06-23,AMAGI,True,False,2026-06-24,09:24,525.72,exited,2026-06-24,14:30,543.85,500.0,MTF,other,306min,3.449,9065.0,"entered with 10 minute delay,position was in loss for sometime but became profitable after sometime had to square off because the intraday position was in loss and that was too hube to be borne.",AMAGI,2026-06-23,0.5925,5,516.1,5.662699,8.322031,0.377534,0.004236,222324540.0,0.324177,-0.808282,-0.002199,0
